слой,орган,образец,идентификатор,группа,значение
пациент,желудок,1,gc_GSE163558|gc_GSE163558_P1,Apoptosis initiators,0.8771228790283203
пациент,желудок,0,gc_GSE163558|gc_GSE163558_PT1,BRAKES,14.031272888183594
пациент,желудок,1,gc_GSE163558|gc_GSE163558_P1,BRAKES,16.24758529663086
пациент,желудок,0,gc_GSE163558|gc_GSE163558_PT1,ENTRY adaptors,7.17547607421875
пациент,желудок,1,gc_GSE163558|gc_GSE163558_P1,ENTRY adaptors,17.46453857421875
пациент,желудок,0,gc_GSE163558|gc_GSE163558_PT1,ENTRY receptors,-6.115678787231445
пациент,желудок,1,gc_GSE163558|gc_GSE163558_P1,ENTRY receptors,0.9859237670898438
пациент,желудок,0,gc_GSE163558|gc_GSE163558_PT1,Inhibitory signals,9.965347290039062
пациент,желудок,1,gc_GSE163558|gc_GSE163558_P1,Inhibitory signals,11.992267608642578
пациент,желудок,0,gc_GSE163558|gc_GSE163558_PT1,MHC-I presentation,15.91312026977539
пациент,желудок,1,gc_GSE163558|gc_GSE163558_P1,MHC-I presentation,18.09988021850586
пациент,желудок,0,gc_GSE163558|gc_GSE163558_PT1,NK activating ligands,-1.3418769836425781
пациент,желудок,1,gc_GSE163558|gc_GSE163558_P1,NK activating ligands,-2.4003334045410156
пациент,желудок,0,gc_GSE163558|gc_GSE163558_PT1,Necroptosis executioners,-15.481948852539062
пациент,желудок,1,gc_GSE163558|gc_GSE163558_P1,Necroptosis executioners,3.242534637451172
пациент,желудок,0,gc_GSE163558|gc_GSE163558_PT1,Necroptosis initiators,24.54867935180664
пациент,желудок,1,gc_GSE163558|gc_GSE163558_P1,Necroptosis initiators,20.905868530273438
пациент,желудок,0,gc_GSE163558|gc_GSE163558_PT1,Pyroptosis executioners,17.746620178222656
пациент,желудок,1,gc_GSE163558|gc_GSE163558_P1,Pyroptosis executioners,6.444770812988281
пациент,желудок,0,gc_GSE163558|gc_GSE163558_PT1,Pyroptosis initiators,10.205780029296875
пациент,желудок,1,gc_GSE163558|gc_GSE163558_P1,Pyroptosis initiators,14.418116569519043
органоид,желудок,4,ACH-002730,Apoptosis executioners,9.047920227050781
органоид,желудок,5,ACH-002731,Apoptosis executioners,-10.990222930908203
органоид,желудок,6,ACH-002733,Apoptosis executioners,10.160110473632812
органоид,желудок,7,ACH-002734,Apoptosis executioners,10.616798400878906
органоид,желудок,8,ACH-002735,Apoptosis executioners,9.359550476074219
органоид,желудок,9,ACH-002736,Apoptosis executioners,-6.334625244140625
органоид,желудок,10,ACH-002737,Apoptosis executioners,17.147544860839844
органоид,желудок,16,ACH-002746,Apoptosis executioners,3.5514755249023438
органоид,желудок,17,ACH-002748,Apoptosis executioners,12.196426391601562
