слой,орган,идентификатор
2D,лёгкое,ACH-000670
2D,панкреас,ACH-000599
2D,молочная,ACH-001419
2D,яичник,ACH-000103
2D,лёгкое,ACH-000442
2D,кишка,ACH-000286
2D,лёгкое,ACH-000841
2D,панкреас,ACH-000139
2D,молочная,ACH-001390
2D,кишка,ACH-002025
2D,кишка,ACH-001345
2D,молочная,ACH-001389
2D,лёгкое,ACH-000860
2D,яичник,ACH-000947
2D,желудок,ACH-000764
2D,лёгкое,ACH-000744
2D,яичник,ACH-000333
2D,лёгкое,ACH-000853
2D,желудок,ACH-001664
2D,лёгкое,ACH-000929
2D,молочная,ACH-001395
2D,лёгкое,ACH-000390
2D,лёгкое,ACH-002490
2D,желудок,ACH-000948
2D,молочная,ACH-001683
2D,яичник,ACH-000617
2D,лёгкое,ACH-000311
2D,кишка,ACH-000955
2D,лёгкое,ACH-000675
2D,кишка,ACH-001061
2D,лёгкое,ACH-000496
2D,панкреас,ACH-000270
2D,лёгкое,ACH-000062
2D,панкреас,ACH-000155
2D,молочная,ACH-000536
2D,желудок,ACH-000427
2D,кишка,ACH-000895
2D,кишка,ACH-000683
2D,лёгкое,ACH-000878
2D,панкреас,ACH-001380
2D,лёгкое,ACH-000851
2D,кишка,ACH-000412
2D,лёгкое,ACH-000891
2D,лёгкое,ACH-003119
2D,лёгкое,ACH-000603
2D,молочная,ACH-001819
2D,кишка,ACH-001786
2D,яичник,ACH-001279
2D,панкреас,ACH-001376
2D,кишка,ACH-000470
2D,лёгкое,ACH-000813
2D,панкреас,ACH-002039
2D,панкреас,ACH-000118
2D,панкреас,ACH-000266
2D,лёгкое,ACH-000434
2D,молочная,ACH-002401
2D,панкреас,ACH-001999
2D,яичник,ACH-000237
2D,лёгкое,ACH-000521
2D,кишка,ACH-000089
2D,молочная,ACH-000212
2D,молочная,ACH-000621
2D,панкреас,ACH-000265
2D,яичник,ACH-000132
2D,яичник,ACH-001628
2D,яичник,ACH-000906
2D,панкреас,ACH-003433
2D,яичник,ACH-001370
2D,яичник,ACH-000936
2D,молочная,ACH-000849
2D,молочная,ACH-000028
2D,лёгкое,ACH-000665
2D,лёгкое,ACH-000150
2D,лёгкое,ACH-002531
2D,желудок,ACH-000911
2D,яичник,ACH-000013
2D,кишка,ACH-002667
2D,панкреас,ACH-000652
2D,кишка,ACH-000252
2D,лёгкое,ACH-000414
2D,яичник,ACH-000091
2D,кишка,ACH-000007
2D,панкреас,ACH-000085
2D,лёгкое,ACH-000869
2D,лёгкое,ACH-002522
2D,молочная,ACH-000277
2D,кишка,ACH-000489
2D,панкреас,ACH-000023
2D,лёгкое,ACH-000975
2D,лёгкое,ACH-000706
2D,яичник,ACH-000460
2D,яичник,ACH-000443
2D,кишка,ACH-002660
2D,кишка,ACH-000986
2D,лёгкое,ACH-000337
2D,лёгкое,ACH-003121
2D,молочная,ACH-001394
2D,панкреас,ACH-000307
2D,панкреас,ACH-000281
2D,кишка,ACH-000985
2D,панкреас,ACH-000347
2D,кишка,ACH-001399
2D,лёгкое,ACH-000298
2D,лёгкое,ACH-000251
2D,лёгкое,ACH-002526
2D,кишка,ACH-000350
2D,яичник,ACH-000663
2D,лёгкое,ACH-000826
2D,яичник,ACH-000291
2D,кишка,ACH-001458
2D,молочная,ACH-000721
2D,кишка,ACH-000970
2D,лёгкое,ACH-000886
2D,кишка,ACH-000003
2D,лёгкое,ACH-000888
2D,лёгкое,ACH-000669
2D,лёгкое,ACH-000844
2D,кишка,ACH-002659
2D,лёгкое,ACH-000030
2D,лёгкое,ACH-000589
2D,кишка,ACH-000950
2D,лёгкое,ACH-000925
2D,яичник,ACH-000409
2D,желудок,ACH-000616
2D,лёгкое,ACH-000628
2D,лёгкое,ACH-000510
2D,кишка,ACH-000959
2D,кишка,ACH-000820
2D,яичник,ACH-002524
2D,лёгкое,ACH-000264
2D,кишка,ACH-000967
2D,яичник,ACH-000796
2D,панкреас,ACH-001353
2D,кишка,ACH-002538
2D,панкреас,ACH-000060
2D,яичник,ACH-000001
2D,кишка,ACH-000957
2D,лёгкое,ACH-001591
2D,кишка,ACH-002535
2D,молочная,ACH-000097
2D,яичник,ACH-000256
2D,молочная,ACH-000859
2D,лёгкое,ACH-002035
2D,яичник,ACH-001719
2D,панкреас,ACH-000243
2D,яичник,ACH-001418
2D,молочная,ACH-000927
2D,панкреас,ACH-000502
2D,кишка,ACH-000935
2D,лёгкое,ACH-000843
2D,желудок,ACH-000761
2D,желудок,ACH-000466
2D,лёгкое,ACH-000840
2D,яичник,ACH-001151
2D,яичник,ACH-000701
2D,яичник,ACH-000542
2D,яичник,ACH-001632
2D,панкреас,ACH-000468
2D,молочная,ACH-002399
2D,лёгкое,ACH-000912
2D,лёгкое,ACH-000667
2D,яичник,ACH-001048
2D,лёгкое,ACH-000015
2D,лёгкое,ACH-000791
2D,молочная,ACH-001391
2D,молочная,ACH-000768
2D,молочная,ACH-000288
2D,лёгкое,ACH-000872
2D,молочная,ACH-001662
2D,молочная,ACH-000349
2D,яичник,ACH-000524
2D,яичник,ACH-000527
2D,яичник,ACH-000885
2D,лёгкое,ACH-000900
2D,лёгкое,ACH-000029
2D,лёгкое,ACH-000718
2D,яичник,ACH-000278
2D,молочная,ACH-000934
2D,кишка,ACH-000202
2D,панкреас,ACH-001379
2D,панкреас,ACH-000114
2D,панкреас,ACH-000320
2D,кишка,ACH-000532
2D,яичник,ACH-000696
2D,лёгкое,ACH-000781
2D,лёгкое,ACH-000747
2D,желудок,ACH-003437
2D,панкреас,ACH-000417
2D,кишка,ACH-002669
