block	group	gene	source_set	panel_chain	shared_node	organs_with_value	organs_healthy	organs_patient	organs_organoid	organs_2D	in_depmap	in_screen_corpus	scientific_label	figure_label
Execution	Pyroptosis initiators	CASP4	PANoptosis panel 2026-09-18	pyroptosis	False	6	6	6	6	6	True	True	Inflammasome sensors and inflammatory caspases	Inflammasome sensors and caspases
Execution	Pyroptosis initiators	CASP5	PANoptosis panel 2026-09-18	pyroptosis	False	6	6	6	6	6	True	True	Inflammasome sensors and inflammatory caspases	Inflammasome sensors and caspases
Execution	Pyroptosis initiators	NLRC4	PANoptosis panel 2026-09-18	sensing_priming	False	6	6	6	6	6	True	True	Inflammasome sensors and inflammatory caspases	Inflammasome sensors and caspases
Execution	Pyroptosis initiators	NLRP3	PANoptosis panel 2026-09-18	sensing_priming	False	6	6	6	6	6	True	True	Inflammasome sensors and inflammatory caspases	Inflammasome sensors and caspases
Execution	Pyroptosis initiators	PYCARD	PANoptosis panel 2026-09-18	panoptosome_and_brakes;pyroptosis	True	6	6	6	6	6	True	True	Inflammasome sensors and inflammatory caspases	Inflammasome sensors and caspases
Recognition	Inhibitory signals	CD274	immune-recognition set		False	6	6	6	6	6			Immune-regulatory ligands	Immune-regulatory ligands
Recognition	Inhibitory signals	CD47	immune-recognition set		False	6	6	6	6	6			Immune-regulatory ligands	Immune-regulatory ligands
Recognition	Inhibitory signals	CEACAM1	immune-recognition set		False	6	6	6	6	6			Immune-regulatory ligands	Immune-regulatory ligands
Recognition	Inhibitory signals	HLA-E	immune-recognition set		False	6	6	6	6	6			Immune-regulatory ligands	Immune-regulatory ligands
Recognition	Inhibitory signals	LGALS9	immune-recognition set		False	6	6	6	6	6			Immune-regulatory ligands	Immune-regulatory ligands
Recognition	Inhibitory signals	PDCD1LG2	immune-recognition set		False	6	6	6	6	6			Immune-regulatory ligands	Immune-regulatory ligands
Recognition	MHC-I presentation	B2M	immune-recognition set		False	6	6	6	6	6			MHC-I antigen processing and presentation	MHC-I processing and presentation
Recognition	MHC-I presentation	CALR	immune-recognition set		False	6	6	6	6	6			MHC-I antigen processing and presentation	MHC-I processing and presentation
