layer,gene,score_pp
Healthy epithelium,PRSS12,12.560447216
Healthy epithelium,PTPRB,7.39811754227
Healthy epithelium,PUM3,15.3859081268
Healthy epithelium,RAB5A,14.7626514435
Healthy epithelium,RANBP2,24.5778923035
Healthy epithelium,RARA,-1.99333667755
Healthy epithelium,RASSF6,39.7529172897
Healthy epithelium,REX1BD,11.3267021179
Healthy epithelium,RNASEH2B,0.945625305176
Healthy epithelium,RPGRIP1L,-8.165766716
Healthy epithelium,RPL7,1.37680435181
Healthy epithelium,S100G,4.84364938736
Healthy epithelium,SAGE1,-3.72609066963
Healthy epithelium,SCAMP1,7.48509216309
Healthy epithelium,SCAPER,38.9194469452
Healthy epithelium,SCTR,31.3789491653
Healthy epithelium,SDHA,-15.1609191895
Healthy epithelium,SLC16A14,-11.4425492287
Healthy epithelium,SLC1A2,7.15465927124
Healthy epithelium,SLC1A5,-11.3414707184
Healthy epithelium,SLC35C1,-10.9942502975
Healthy epithelium,SLC35D1,13.2548904419
Healthy epithelium,SLC7A9,-3.11962842941
Healthy epithelium,SMIM40,0
Healthy epithelium,SOBP,27.690805912
Healthy epithelium,SPATA9,-4.60086107254
Healthy epithelium,SPRY3,10.8720188141
Healthy epithelium,SRCAP,-22.0546569824
Healthy epithelium,SULT1E1,2.25358581543
Healthy epithelium,SYNDIG1,9.02509212494
Healthy epithelium,TAFA3,-9.07109737396
Healthy epithelium,TAS2R8,0
Healthy epithelium,TBCEL,-16.0064764023
Healthy epithelium,TCF24,-10.6879971027
Healthy epithelium,TCL1A,-15.0265965462
Healthy epithelium,TCP11X2,0
Healthy epithelium,TGFBR2,19.5445194244
Healthy epithelium,TGM7,3.18074369431
Healthy epithelium,TIGD5,0.286106109619
Healthy epithelium,TMEM192,5.85979270935
Healthy epithelium,TMEM241,12.0312156677
Healthy epithelium,TMEM266,7.615046978
Healthy epithelium,TNFAIP2,-9.33000183105
Healthy epithelium,TNRC6A,27.5830116272
Healthy epithelium,TP53TG3B,-8.10632872581
Healthy epithelium,TRA2B,1.63839149475
Healthy epithelium,TRIM49B,0
Healthy epithelium,TULP1,-7.62411403656
Healthy epithelium,UBA5,-1.72536277771
Healthy epithelium,UBE2D2,12.155128479
Healthy epithelium,UBE2M,0.511764526367
Healthy epithelium,UNC80,9.92370510101
Healthy epithelium,UQCC1,-2.58502578735
Healthy epithelium,USP35,-20.7728877068
Healthy epithelium,USP9Y,0
Healthy epithelium,VCX2,0
Healthy epithelium,VIPR2,11.1161489487
Healthy epithelium,VLDLR,-0.475164413452
Healthy epithelium,WAPL,18.9071578979
Healthy epithelium,ZBTB47,-0.138687133789
Healthy epithelium,ZFP64,-3.4591255188
Healthy epithelium,ZNF132,-6.64255714417
Healthy epithelium,ZNF222,-21.7494087219
Healthy epithelium,ZNF26,2.59913253784
Healthy epithelium,ZNF319,-14.610871315
Healthy epithelium,ZNF335,4.36579799652
Healthy epithelium,ZNF396,-0.159171104431
Healthy epithelium,ZNF491,4.81409645081
Healthy epithelium,ZNF582,0.764290809631
Healthy epithelium,ZNF688,3.18779373169
Healthy epithelium,ZNF718,16.0306510925
Healthy epithelium,ZRANB2,16.4947357178
Malignant epithelium,ABCG8,1.17498111725
Malignant epithelium,ACER2,-10.2313017845
Malignant epithelium,ADAMTS12,0
Malignant epithelium,ADCYAP1R1,0
Malignant epithelium,ADGRG1,0.171258926392
Malignant epithelium,ADPRHL1,-3.41043376923
Malignant epithelium,AGAP4,-10.1896629333
Malignant epithelium,AHRR,-7.64896249771
Malignant epithelium,AKAP9,29.7194023132
Malignant epithelium,ALDH16A1,-0.510423660278
Malignant epithelium,AMHR2,3.90272426605
Malignant epithelium,AMY1C,0
Malignant epithelium,ANLN,-30.7872619629
Malignant epithelium,ARL4A,10.8270187378
Malignant epithelium,ASS1,5.01356506348
Malignant epithelium,ATP5PD,-0.713916778564
Malignant epithelium,ATRNL1,-12.9660971165
Malignant epithelium,B3GNT7,18.2704725266
Malignant epithelium,BBS10,-11.0634269714
Malignant epithelium,BICC1,1.92550373077
Malignant epithelium,BLOC1S3,-9.16411495209
Malignant epithelium,BTBD16,8.19195842743
Malignant epithelium,BTC,0.129621505737
Malignant epithelium,C12orf56,0.264614105225
Malignant epithelium,CACNG2,0
Malignant epithelium,CCNB3,-9.47977018356
Malignant epithelium,CCNG1,-10.1822757721
Malignant epithelium,CCNQ,3.81340026855
Malignant epithelium,CCR6,21.5083007812
Malignant epithelium,CD40,10.4116301537
Malignant epithelium,CD8B,21.7081053257
Malignant epithelium,CDCP2,0
Malignant epithelium,CDNF,-4.83088779449
Malignant epithelium,CENPH,-14.4167737961
Malignant epithelium,CEP44,-4.67238903046
Malignant epithelium,CEP68,11.2420740128
Malignant epithelium,CFAP69,5.73554611206
Malignant epithelium,CIRBP,1.00875854492
Malignant epithelium,CNGA2,0
Malignant epithelium,CNTRL,4.56896018982
Malignant epithelium,COL15A1,8.79808759689
Malignant epithelium,CSNK1A1,3.27879714966
Malignant epithelium,CSRP2,-5.93501472473
Malignant epithelium,CTRB1,0
Malignant epithelium,CXorf66,0
Malignant epithelium,CYP11B1,0
Malignant epithelium,CYP3A5,19.3551197052
Malignant epithelium,DEFB126,0
Malignant epithelium,DENND10,5.40242767334
Malignant epithelium,DPH2,-16.2408647537
Malignant epithelium,DUSP3,5.92762756348
Malignant epithelium,EDA2R,0
Malignant epithelium,EDNRB,0
Malignant epithelium,EEF1B2,0.498332977295
Malignant epithelium,ENPP1,7.12913608551
Malignant epithelium,FAHD1,0.126264572144
Malignant epithelium,FAM161B,-7.42531776428
Malignant epithelium,FBXO2,14.7391490936
Malignant epithelium,FCRL5,0
Malignant epithelium,FGF16,0
Malignant epithelium,FOXJ3,1.45201873779
Malignant epithelium,FOXO1,13.7438182831
Malignant epithelium,FSHR,0
Malignant epithelium,FTMT,0
Malignant epithelium,FXR2,-11.6974287033
Malignant epithelium,FYB1,17.7990016937
Malignant epithelium,GANAB,-8.48108673096
Malignant epithelium,GAS1,2.19851350784
Malignant epithelium,GBF1,-6.99347114563
Malignant epithelium,GPNMB,2.6172618866
Malignant epithelium,GPR137,-3.59848403931
Malignant epithelium,GPR45,0
Malignant epithelium,GRIA1,0
Malignant epithelium,GRIN2D,-2.96817874908
Malignant epithelium,GUCD1,-4.26338005066
Malignant epithelium,HES4,25.8630180359
Malignant epithelium,HMOX2,2.04236412048
Malignant epithelium,HNRNPU,0.550045013428
Malignant epithelium,IQSEC3,0
Malignant epithelium,IYD,25.4540071487
Malignant epithelium,IZUMO3,0
Malignant epithelium,KHDC4,6.83967590332
Malignant epithelium,KLLN,-0.0685033798218
Malignant epithelium,KNOP1,14.6451187134
Malignant epithelium,KRTAP5-5,0
Malignant epithelium,LAP3,2.26467132568
Malignant epithelium,LARGE2,-0.129620552063
Malignant epithelium,LRFN3,-1.99804019928
Malignant epithelium,LRRC28,-1.68876171112
Malignant epithelium,LUZP1,17.6599798203
Malignant epithelium,LY86,17.3933491707
Malignant epithelium,LYVE1,0
Malignant epithelium,MAPKBP1,-6.46692943573
Malignant epithelium,MBNL1,6.76646614075
Malignant epithelium,MBTPS2,-5.86650943756
Malignant epithelium,MCF2L,6.0585899353
Malignant epithelium,MICALL2,5.42660713196
Malignant epithelium,MIS18BP1,2.69516944885
Malignant epithelium,MKRN2OS,-4.10958003998
Malignant epithelium,MMP14,0.187377929688
Malignant epithelium,MPST,18.2382354736
Malignant epithelium,MRPL50,11.8324222565
Malignant epithelium,MRPS26,8.93509101868
Malignant epithelium,NAGA,-5.48503684998
Malignant epithelium,NCF4,14.4705038071
Malignant epithelium,NEK4,-2.29892158508
Malignant epithelium,NHSL1,7.57240009308
Malignant epithelium,NKIRAS1,-5.86852741241
Malignant epithelium,NLGN2,-13.1756372452
Malignant epithelium,NOLC1,-3.61393356323
Malignant epithelium,NR2C2AP,-4.78656387329
Malignant epithelium,NT5DC4,0
Malignant epithelium,OARD1,6.10090065002
Malignant epithelium,OR51G2,0
Malignant epithelium,OR52J3,0
Malignant epithelium,OR5D14,0
Malignant epithelium,OR5J2,0
Malignant epithelium,OTOS,0
Malignant epithelium,OVOL3,-0.443934440613
Malignant epithelium,PCDH8,0
Malignant epithelium,PELI2,16.5864086151
Malignant epithelium,PHF2,-3.63676452637
Malignant epithelium,PIGZ,6.8967590332
Malignant epithelium,PODXL,-3.51251888275
Malignant epithelium,PPP1R3B,13.4691324234
Malignant epithelium,PRAC2,6.59218549728
Malignant epithelium,PRKAB1,-2.30765151978
Malignant epithelium,PROM1,23.0694570541
Malignant epithelium,PRSS12,-3.93496131897
Malignant epithelium,PTPRB,2.63002490997
Malignant epithelium,PUM3,3.61661911011
Malignant epithelium,RAB5A,6.76042366028
Malignant epithelium,RANBP2,13.9560489655
Malignant epithelium,RARA,4.00078010559
Malignant epithelium,RASSF6,26.0463676453
Malignant epithelium,REX1BD,18.1918907166
Malignant epithelium,RNASEH2B,2.07258605957
Malignant epithelium,RPGRIP1L,0.577584266663
Malignant epithelium,RPL7,1.11017227173
Malignant epithelium,S100G,0
Malignant epithelium,SAGE1,0
Malignant epithelium,SCAMP1,-0.75287437439
Malignant epithelium,SCAPER,12.5980548859
Malignant epithelium,SCTR,9.27493000031
Malignant epithelium,SDHA,-5.18751525879
Malignant epithelium,SLC16A14,-8.29639482498
Malignant epithelium,SLC1A2,1.44563961029
Malignant epithelium,SLC1A5,-9.13120269775
Malignant epithelium,SLC35C1,3.33790016174
Malignant epithelium,SLC35D1,1.33919048309
Malignant epithelium,SLC7A9,1.03931522369
Malignant epithelium,SMIM40,0
Malignant epithelium,SOBP,0.958387851715
Malignant epithelium,SPATA9,-11.0614123344
Malignant epithelium,SPRY3,-1.62059402466
Malignant epithelium,SRCAP,-21.2490606308
Malignant epithelium,SULT1E1,0.186707496643
Malignant epithelium,SYNDIG1,0
Malignant epithelium,TAFA3,0
Malignant epithelium,TAS2R8,0
Malignant epithelium,TBCEL,-7.10092926025
Malignant epithelium,TCF24,-1.0161447525
Malignant epithelium,TCL1A,-1.77842235565
Malignant epithelium,TCP11X2,0
Malignant epithelium,TGFBR2,2.38690567017
Malignant epithelium,TGM7,0
Malignant epithelium,TIGD5,4.62873363495
Malignant epithelium,TMEM192,4.999127388
Malignant epithelium,TMEM241,-6.82691478729
Malignant epithelium,TMEM266,-4.54310369492
Malignant epithelium,TNFAIP2,0.38046836853
Malignant epithelium,TNRC6A,13.4489879608
Malignant epithelium,TP53TG3B,0
Malignant epithelium,TRA2B,-1.06450271606
Malignant epithelium,TRIM49B,0
Malignant epithelium,TULP1,0
Malignant epithelium,UBA5,-8.17819213867
Malignant epithelium,UBE2D2,6.29903030396
Malignant epithelium,UBE2M,-1.96244239807
Malignant epithelium,UNC80,0
Malignant epithelium,UQCC1,-16.0729618073
Malignant epithelium,USP35,-10.0989942551
Malignant epithelium,USP9Y,7.80947780609
Malignant epithelium,VCX2,0
Malignant epithelium,VIPR2,6.10829043388
Malignant epithelium,VLDLR,-5.38966941833
Malignant epithelium,WAPL,11.2884140015
Malignant epithelium,ZBTB47,-7.19831180573
Malignant epithelium,ZFP64,-8.18692111969
Malignant epithelium,ZNF132,-13.4818921089
Malignant epithelium,ZNF222,-10.9351501465
Malignant epithelium,ZNF26,1.33247280121
Malignant epithelium,ZNF319,-4.46083259583
Malignant epithelium,ZNF335,5.33929634094
Malignant epithelium,ZNF396,2.02490329742
Malignant epithelium,ZNF491,-5.13311338425
Malignant epithelium,ZNF582,-0.843878269196
Malignant epithelium,ZNF688,15.8896121979
Malignant epithelium,ZNF718,-5.34601306915
Malignant epithelium,ZRANB2,6.38297653198
3D dome models,ABCG8,5.31646251678
3D dome models,ACER2,5.9699382782
3D dome models,ADAMTS12,-7.24263954163
3D dome models,ADCYAP1R1,0
3D dome models,ADGRG1,0.644075393677
3D dome models,ADPRHL1,5.07065391541
3D dome models,AGAP4,-8.99554157257
3D dome models,AHRR,-3.69721126556
3D dome models,AKAP9,-0.373416900635
3D dome models,ALDH16A1,-5.89505672455
3D dome models,AMHR2,0
3D dome models,AMY1C,0
3D dome models,ANLN,-7.04249763489
3D dome models,ARL4A,8.78666687012
3D dome models,ASS1,7.43337249756
3D dome models,ATP5PD,0.537288665771
3D dome models,ATRNL1,-2.61659145355
3D dome models,B3GNT7,11.1319322586
3D dome models,BBS10,2.93829154968
3D dome models,BICC1,-0.374756813049
3D dome models,BLOC1S3,5.37556362152
3D dome models,BTBD16,5.17139339447
3D dome models,BTC,1.53127002716
3D dome models,C12orf56,1.60850572586
3D dome models,CACNG2,0
3D dome models,CCNB3,-0.891896724701
3D dome models,CCNG1,3.65489768982
3D dome models,CCNQ,1.38418388367
