gene	organ	self_included_baseline	self_included_corrected	controls_baseline	controls_corrected	removed_gene	added_gene	retained_order_preserved	reference_rank_target	max_control_gap_baseline	max_control_gap_corrected
FCRL5	lung	1	0	400	400	FCRL5	OR5K2	True	14.058134078979492	1.7918548583984375	1.7918548583984375
AMY1C	lung	1	0	400	400	AMY1C	TBX5	True	8.354825019836426	0.29550838470458984	0.29550838470458984
FBXO2	lung	1	0	400	400	FBXO2	VPS9D1	True	49.360626220703125	1.0960693359375	1.0960693359375
TGM7	lung	1	0	400	400	TGM7	KRTAP19-4	True	7.202342510223389	0.053728580474853516	0.053728580474853516
KRTAP5-5	lung	1	0	400	400	KRTAP5-5	DEFB105A	True	7.350096702575684	0.10745763778686523	0.10745763778686523
TP53TG3B	lung	1	0	400	400	TP53TG3B	TCERG1L	True	11.438857078552246	2.5574893951416016	2.5574893951416016
PCDH8	lung	1	0	400	400	PCDH8	IL2RA	True	17.682140350341797	1.1175594329833984	1.1283035278320312
GRIA1	lung	1	0	400	400	GRIA1	DNASE1L3	True	14.302600860595703	1.6494741439819336	1.65484619140625
PRKAB1	lung	1	0	400	400	PRKAB1	DGCR8	True	71.4001693725586	0.9939804077148438	0.9993515014648438
PUM3	lung	1	0	400	400	PUM3	YES1	True	78.70728302001953	1.0047225952148438	1.004730224609375
ADPRHL1	lung	1	0	400	400	ADPRHL1	FBXO16	True	47.54996871948242	1.0315933227539062	1.0315933227539062
PTPRB	lung	1	0	400	400	PTPRB	NPIPA3	True	35.70277404785156	1.1336784362792969	1.1390495300292969
ABCG8	lung	1	0	400	400	ABCG8	NLRP10	True	16.758005142211914	1.1229324340820312	1.1283035278320312
LRFN3	lung	1	0	400	400	LRFN3	CITED4	True	47.904579162597656	1.0584602355957031	1.0638313293457031
SCAPER	lung	1	0	400	400	SCAPER	C19orf44	True	51.010101318359375	1.1551666259765625	1.1551704406738281
TIGD5	lung	1	0	400	400	TIGD5	SESN3	True	44.29937744140625	1.0906944274902344	1.0906944274902344
HNRNPU	lung	1	0	400	400	HNRNPU	LY6E	True	97.92607116699219	1.3432235717773438	1.3432235717773438
OR51G2	lung	1	0	400	400	OR51G2	KRTAP10-3	True	7.242639064788818	0.05910158157348633	0.05910158157348633
PROM1	lung	1	0	400	400	PROM1	PP2D1	True	27.37481117248535	0.9993553161621094	0.9993553161621094
ARL4A	lung	1	0	400	400	ARL4A	TCIRG1	True	83.19364166259766	1.1121902465820312	1.1175537109375
LAP3	lung	1	0	400	400	LAP3	AMOTL2	True	84.4992446899414	1.1014404296875	1.1068115234375
ZNF319	lung	1	0	400	400	ZNF319	TSTD3	True	46.04018783569336	1.0638275146484375	1.0638275146484375
KNOP1	lung	1	0	400	400	KNOP1	SEC22B	True	75.32774353027344	1.0477142333984375	1.0530853271484375
NEK4	lung	1	0	400	400	NEK4	TMEM192	True	63.57726287841797	1.0262222290039062	1.0262222290039062
FXR2	lung	1	0	400	400	FXR2	JMJD1C	True	74.7044906616211	1.0369644165039062	1.0423431396484375
ZNF222	lung	1	0	400	400	ZNF222	NGEF	True	45.90586853027344	1.0530853271484375	1.0584564208984375
CD8B	lung	1	0	400	400	CD8B	TBC1D28	True	9.754459381103516	1.3566513061523438	1.3566513061523438
SLC35C1	lung	1	0	400	400	SLC35C1	PLEKHA7	True	60.095638275146484	1.0638313293457031	1.0692024230957031
ACER2	lung	1	0	400	400	ACER2	GOLGA6L4	True	37.330753326416016	1.0799484252929688	1.0799484252929688
FAHD1	lung	1	0	400	400	FAHD1	ATF2	True	74.6319580078125	1.0396499633789062	1.0450210571289062
GAS1	lung	1	0	400	400	GAS1	F8A2	True	23.839458465576172	0.9510002136230469	0.9510002136230469
NCF4	lung	1	0	400	400	NCF4	PLP1	True	23.420373916625977	0.9348812103271484	0.9402542114257812
CSNK1A1	lung	1	0	400	400	CSNK1A1	DDX3X	True	95.01396942138672	1.3056106567382812	1.3109817504882812
UQCC1	lung	1	0	400	400	UQCC1	TSR3	True	83.71480560302734	1.1229324340820312	1.1229324340820312
BLOC1S3	lung	1	0	400	400	BLOC1S3	DCLRE1C	True	52.62196350097656	1.1014404296875	1.1068115234375
CEP68	lung	1	0	400	400	CEP68	A1BG	True	48.92542266845703	1.0692062377929688	1.0745735168457031
EDA2R	lung	1	0	400	400	EDA2R	USHBP1	True	20.05695343017578	1.0315914154052734	1.0315914154052734
CDNF	lung	1	0	400	400	CDNF	TMEM37	True	36.283042907714844	1.1336784362792969	1.1336784362792969
CACNG2	lung	1	0	400	400	CACNG2	TBX5	True	8.365571022033691	0.30625438690185547	0.30625438690185547
PELI2	lung	1	0	400	400	PELI2	AMIGO1	True	38.86739730834961	1.0745773315429688	1.0799484252929688
AHRR	lung	1	0	400	400	AHRR	BBS12	True	40.70492172241211	1.0799484252929688	1.0799484252929688
HES4	lung	1	0	400	400	HES4	ATAT1	True	54.38964080810547	1.0315933227539062	1.0423393249511719
LRRC28	lung	1	0	400	400	LRRC28	ZACN	True	60.729637145996094	0.9993553161621094	0.9993553161621094
ZNF491	lung	1	0	400	400	ZNF491	ZEB2	True	31.528045654296875	0.9671173095703125	0.9671173095703125
CYP11B1	lung	1	0	400	400	CYP11B1	KRTAP19-4	True	7.213088512420654	0.06447458267211914	0.06447458267211914
OARD1	lung	1	0	400	400	OARD1	CLK3	True	80.41586303710938	1.1336746215820312	1.1336746215820312
ZNF26	lung	1	0	400	400	ZNF26	CCDC24	True	55.19557189941406	1.015472412109375	1.015472412109375
CCNB3	lung	1	0	400	400	CCNB3	SMIM5	True	32.85514831542969	1.0477104187011719	1.0477123260498047
SLC35D1	lung	1	0	400	400	SLC35D1	ZNF518A	True	52.41242218017578	1.1336784362792969	1.1336784362792969
UNC80	lung	1	0	400	400	UNC80	KCNJ1	True	16.575326919555664	1.1605415344238281	1.1605415344238281
LUZP1	lung	1	0	400	400	LUZP1	TMX4	True	62.21792221069336	1.0315895080566406	1.0315895080566406
TMEM192	lung	1	0	400	400	TMEM192	NEK4	True	62.55104064941406	1.0262222290039062	1.0262222290039062
CENPH	lung	1	0	400	400	CENPH	ACBD3	True	76.49365997314453	1.0638275146484375	1.0692062377929688
MMP14	lung	1	0	400	400	MMP14	EHD2	True	69.96561431884766	1.1068115234375	1.1121826171875
ENPP1	lung	1	0	400	400	ENPP1	ZNF443	True	42.56393814086914	0.9993553161621094	0.9993553161621094
NT5DC4	lung	1	0	400	400	NT5DC4	MYO16	True	23.248441696166992	0.9563713073730469	0.9563732147216797
CDCP2	lung	1	0	400	400	CDCP2	ARRDC5	True	8.113045692443848	0.25252532958984375	0.25252532958984375
RPL7	lung	1	0	400	400	RPL7	GPX4	True	99.75284576416016	2.4285354614257812	2.4339141845703125
S100G	lung	1	0	400	400	S100G	DEFB4B	True	7.148613929748535	0.053728580474853516	0.053728580474853516
OR52J3	lung	1	0	400	400	OR52J3	KRTAP19-8	True	7.100257873535156	0.053728580474853516	0.053728580474853516
ADGRG1	lung	1	0	400	400	ADGRG1	CYREN	True	82.73694610595703	1.0906982421875	1.0960693359375
SLC7A9	lung	1	0	400	400	SLC7A9	TMEM221	True	26.778423309326172	0.9886093139648438	0.9886093139648438
GBF1	lung	1	0	400	400	GBF1	ILVBL	True	78.41177368164062	1.0154800415039062	1.0154800415039062
SLC1A5	lung	1	0	400	400	SLC1A5	NDUFB8	True	94.7775650024414	1.27337646484375	1.2787399291992188
KHDC4	lung	1	0	400	400	KHDC4	LEMD2	True	84.21985626220703	1.1229324340820312	1.1229324340820312
TMEM241	lung	1	0	400	400	TMEM241	ZNF513	True	56.56028366088867	0.9886093139648438	0.9886093139648438
USP9Y	lung	1	0	400	400	USP9Y	ITIH3	True	21.77090072631836	1.0262203216552734	1.0262203216552734
DPH2	lung	1	0	400	400	DPH2	SH3BGRL	True	81.76982879638672	1.1283035278320312	1.1283035278320312
MBTPS2	lung	1	0	400	400	MBTPS2	BPGM	True	66.2368392944336	1.0799484252929688	1.0853195190429688
LY86	lung	1	0	400	400	LY86	ANKRD30A	True	8.091553688049316	0.2632713317871094	0.2632713317871094
MAPKBP1	lung	1	0	400	400	MAPKBP1	NINL	True	53.320438385009766	1.0423393249511719	1.0423393249511719
MIS18BP1	lung	1	0	400	400	MIS18BP1	RHOG	True	76.86438751220703	1.1014404296875	1.1014404296875
TULP1	lung	1	0	400	400	TULP1	HMCN2	True	20.040834426879883	1.0315914154052734	1.0315914154052734
GPR45	lung	1	0	400	400	GPR45	GABRP	True	19.8689022064209	1.010101318359375	1.010101318359375
EDNRB	lung	1	0	400	400	EDNRB	STARD6	True	24.478830337524414	1.0047283172607422	1.0047283172607422
PIGZ	lung	1	0	400	400	PIGZ	RWDD2A	True	43.64925765991211	1.0315933227539062	1.0369644165039062
MKRN2OS	lung	1	0	400	400	MKRN2OS	BGLAP	True	32.50053787231445	0.9993553161621094	1.010101318359375
ALDH16A1	lung	1	0	400	400	ALDH16A1	PCNT	True	60.6329231262207	1.015472412109375	1.0154762268066406
NR2C2AP	lung	1	0	400	400	NR2C2AP	WDR90	True	75.56952667236328	1.0745773315429688	1.0745773315429688
DUSP3	lung	1	0	400	400	DUSP3	GSKIP	True	74.68836975097656	1.0477142333984375	1.0477142333984375
AMHR2	lung	1	0	400	400	AMHR2	LIN28B	True	19.75069808959961	1.010101318359375	1.0208473205566406
ATP5PD	lung	1	0	400	400	ATP5PD	RPS6	True	98.19470977783203	1.3324737548828125	1.3324737548828125
MBNL1	lung	1	0	400	400	MBNL1	GPN1	True	86.97077178955078	1.187408447265625	1.192779541015625
ADAMTS12	lung	1	0	400	400	ADAMTS12	TMEM179	True	26.26262664794922	0.9724903106689453	0.9724903106689453
DEFB126	lung	1	0	400	400	DEFB126	OR52A5	True	7.489791393280029	0.08865213394165039	0.08865213394165039
FOXJ3	lung	1	0	400	400	FOXJ3	STEAP1	True	73.03352355957031	0.9993515014648438	0.9993515014648438
SOBP	lung	1	0	400	400	SOBP	ADAMTS7	True	33.92435073852539	1.0853233337402344	1.0906944274902344
NKIRAS1	lung	1	0	400	400	NKIRAS1	ZNF134	True	58.096927642822266	1.0530853271484375	1.0584564208984375
OTOS	lung	1	0	400	400	OTOS	SERPINA9	True	7.903502941131592	0.22297430038452148	0.22297430038452148
GPR137	lung	1	0	400	400	GPR137	MAPK14	True	76.36470794677734	1.0638351440429688	1.0718841552734375
OR5J2	lung	1	0	400	400	OR5J2	KRTAP19-8	True	7.100257873535156	0.053728580474853516	0.053728580474853516
PHF2	lung	1	0	400	400	PHF2	ZBED1	True	58.0593147277832	1.0477142333984375	1.0530815124511719
VIPR2	lung	1	0	400	400	VIPR2	CFAP74	True	17.354394912719727	1.1229305267333984	1.1229324340820312
GANAB	lung	1	0	400	400	GANAB	ATP6V1F	True	97.65205383300781	1.3378448486328125	1.3378448486328125
COL15A1	lung	1	0	400	400	COL15A1	DRC7	True	22.17923927307129	1.0208473205566406	1.0208473205566406
SLC16A14	lung	1	0	400	400	SLC16A14	CLTCL1	True	43.998497009277344	1.0745735168457031	1.0745735168457031
IYD	lung	1	0	400	400	IYD	RFPL1	True	15.495379447937012	1.2679986953735352	1.273371696472168
RARA	lung	1	0	400	400	RARA	RNF115	True	58.102298736572266	1.0584564208984375	1.0584564208984375
MCF2L	lung	1	0	400	400	MCF2L	ANKRD6	True	44.53578186035156	1.0853195190429688	1.0853233337402344
TCP11X2	lung	1	0	400	400	TCP11X2	IDI2	True	7.573071002960205	0.1423811912536621	0.1423811912536621
GPNMB	lung	1	0	400	400	GPNMB	SERPINE1	True	52.31033706665039	1.1497955322265625	1.1551666259765625
RASSF6	lung	1	0	400	400	RASSF6	EPHA10	True	37.959381103515625	1.0906944274902344	1.0906944274902344
BTBD16	lung	1	0	400	400	BTBD16	KRT78	True	23.232322692871094	0.9590587615966797	0.9617443084716797
RNASEH2B	lung	1	0	400	400	RNASEH2B	RPS6KB2	True	80.5877914428711	1.0960693359375	1.0960693359375
SAGE1	lung	1	0	400	400	SAGE1	SNTG1	True	8.475714683532715	0.38416099548339844	0.38416099548339844
TRIM49B	lung	1	0	400	400	TRIM49B	OR52A5	True	7.489791393280029	0.08865213394165039	0.08865213394165039
FGF16	lung	1	0	400	400	FGF16	OR4E2	True	7.33666467666626	0.0940256118774414	0.0940256118774414
AGAP4	lung	1	0	400	400	AGAP4	LCAT	True	52.77777862548828	1.1068153381347656	1.1175575256347656
OVOL3	lung	1	0	400	400	OVOL3	EFHC2	True	24.661508560180664	1.0315933227539062	1.0315933227539062
UBA5	lung	1	0	400	400	UBA5	MRPS6	True	85.62217712402344	1.1712875366210938	1.1712875366210938
AKAP9	lung	1	0	400	400	AKAP9	RASSF1	True	65.49000549316406	1.0799484252929688	1.0799484252929688
ZNF688	lung	1	0	400	400	ZNF688	ATP7A	True	48.67289733886719	1.0772590637207031	1.0799484252929688
KLLN	lung	1	0	400	400	KLLN	FHAD1	True	32.82291030883789	1.0477123260498047	1.0530853271484375
CCR6	lung	1	0	400	400	CCR6	KRTAP10-3	True	7.2372660636901855	0.06447458267211914	0.06447458267211914
SMIM40	lung	1	0	400	400	SMIM40	KRTAP10-3	True	7.2372660636901855	0.06447458267211914	0.06447458267211914
PODXL	lung	1	0	400	400	PODXL	RASAL2	True	58.4515380859375	1.0369644165039062	1.0369644165039062
NOLC1	lung	1	0	400	400	NOLC1	ERRFI1	True	91.15624237060547	1.1068115234375	1.1121902465820312
RANBP2	lung	1	0	400	400	RANBP2	DMAC1	True	73.0872573852539	1.010101318359375	1.010101318359375
WAPL	lung	1	0	400	400	WAPL	ABLIM1	True	72.88308715820312	1.010101318359375	1.015472412109375
NLGN2	lung	1	0	400	400	NLGN2	ZNF513	True	56.56028366088867	0.9886093139648438	0.9886093139648438
OR5D14	lung	1	0	400	400	OR5D14	KRTAP19-8	True	7.100257873535156	0.053728580474853516	0.053728580474853516
TGFBR2	lung	1	0	400	400	TGFBR2	TOM1	True	72.85084533691406	1.0208511352539062	1.026214599609375
ADCYAP1R1	lung	1	0	400	400	ADCYAP1R1	FAM180A	True	15.253600120544434	1.348592758178711	1.3539648056030273
BBS10	lung	1	0	400	400	BBS10	KIAA0232	True	57.264129638671875	0.9832344055175781	0.9886093139648438
GUCD1	lung	1	0	400	400	GUCD1	YTHDF3	True	81.65161895751953	1.1014328002929688	1.1068115234375
LARGE2	lung	1	0	400	400	LARGE2	TMEM17	True	45.766170501708984	1.0906944274902344	1.0906944274902344
CIRBP	lung	1	0	400	400	CIRBP	TUBA4A	True	96.46464538574219	1.2733688354492188	1.2733688354492188
SULT1E1	lung	1	0	400	400	SULT1E1	CPXM1	True	19.659358978271484	1.042337417602539	1.042337417602539
VLDLR	lung	1	0	400	400	VLDLR	ZNF267	True	56.603267669677734	0.9993553161621094	0.9993553161621094
CFAP69	lung	1	0	400	400	CFAP69	TCF7L1	True	40.75327682495117	1.0692024230957031	1.0692024230957031
ZNF132	lung	1	0	400	400	ZNF132	MFAP3L	True	40.62432861328125	1.0692024230957031	1.0692024230957031
TAS2R8	lung	1	0	400	400	TAS2R8	MAGEL2	True	8.31184196472168	0.2820758819580078	0.2820758819580078
BICC1	lung	1	0	400	400	BICC1	RPEL1	True	38.2011604309082	1.0853195190429688	1.0853195190429688
CCNG1	lung	1	0	400	400	CCNG1	NIPA2	True	89.75392150878906	1.1659164428710938	1.1659164428710938
ZNF335	lung	1	0	400	400	ZNF335	CXCL2	True	54.63679504394531	1.0369682312011719	1.0423355102539062
CCNQ	lung	1	0	400	400	CCNQ	ETS2	True	70.39006805419922	1.0423431396484375	1.0450286865234375
ZNF718	lung	1	0	400	400	ZNF718	SAMD12	True	48.20545959472656	1.0960655212402344	1.0960655212402344
SPATA9	lung	1	0	400	400	SPATA9	AKNAD1	True	31.41521644592285	0.9617462158203125	0.9671192169189453
NHSL1	lung	1	0	400	400	NHSL1	MAST1	True	43.79432678222656	1.0530853271484375	1.0584564208984375
RPGRIP1L	lung	1	0	400	400	RPGRIP1L	ADCY7	True	57.097572326660156	0.9832382202148438	0.9886093139648438
CXorf66	lung	1	0	400	400	CXorf66	DEFB4B	True	7.1378679275512695	0.06447458267211914	0.06447458267211914
CD40	lung	1	0	400	400	CD40	RTN2	True	51.78916931152344	1.1444244384765625	1.1497955322265625
ZNF396	lung	1	0	400	400	ZNF396	MMP16	True	35.31592559814453	1.1390495300292969	1.1444244384765625
USP35	lung	1	0	400	400	USP35	PELI1	True	48.4902229309082	1.0638275146484375	1.0638275146484375
CSRP2	lung	1	0	400	400	CSRP2	SLC38A6	True	66.38190460205078	1.0960693359375	1.0960693359375
ZBTB47	lung	1	0	400	400	ZBTB47	SCHIP1	True	41.1454963684082	1.1121864318847656	1.1121864318847656
VCX2	lung	1	0	400	400	VCX2	IDI2	True	7.573071002960205	0.1423811912536621	0.1423811912536621
B3GNT7	lung	1	0	400	400	B3GNT7	BMP8A	True	35.32129669189453	1.1390533447265625	1.1444206237792969
IQSEC3	lung	1	0	400	400	IQSEC3	NLRP10	True	16.758005142211914	1.1229324340820312	1.1283035278320312
ASS1	lung	1	0	400	400	ASS1	PRKACA	True	77.43928527832031	1.0960693359375	1.0960693359375
FAM161B	lung	1	0	400	400	FAM161B	ZNF165	True	45.00322341918945	1.1121864318847656	1.1121864318847656
TCF24	lung	1	0	400	400	TCF24	RTP4	True	29.4111328125	1.0208473205566406	1.0208473205566406
CYP3A5	lung	1	0	400	400	CYP3A5	TMC7	True	40.8392448425293	1.0692024230957031	1.0799484252929688
SCTR	lung	1	0	400	400	SCTR	SNTG1	True	8.467655181884766	0.3761014938354492	0.3761014938354492
ZNF582	lung	1	0	400	400	ZNF582	MOXD1	True	37.52417755126953	1.0638275146484375	1.0692024230957031
PRAC2	lung	1	0	400	400	PRAC2	IL20	True	8.892112731933594	0.642059326171875	0.642059326171875
CNGA2	lung	1	0	400	400	CNGA2	KRTAP10-3	True	7.242639064788818	0.05910158157348633	0.05910158157348633
BTC	lung	1	0	400	400	BTC	RSC1A1	True	43.133460998535156	0.9778633117675781	0.9778633117675781
GRIN2D	lung	1	0	400	400	GRIN2D	FHIT	True	34.98817825317383	1.1175613403320312	1.1229324340820312
CNTRL	lung	1	0	400	400	CNTRL	DERPC	True	54.115623474121094	1.0423393249511719	1.0423393249511719
TNRC6A	lung	1	0	400	400	TNRC6A	FBXO21	True	72.30818939208984	0.9939804077148438	0.9993515014648438
ATRNL1	lung	1	0	400	400	ATRNL1	RAB33A	True	30.877927780151367	0.9348812103271484	0.9402523040771484
REX1BD	lung	1	0	400	400	REX1BD	ATRX	True	77.97119903564453	1.0477142333984375	1.0477142333984375
SPRY3	lung	1	0	400	400	SPRY3	VASH2	True	34.574466705322266	1.1068115234375	1.1121864318847656
C12orf56	lung	1	0	400	400	C12orf56	STX1B	True	33.71480941772461	1.0745735168457031	1.0745735168457031
EEF1B2	lung	1	0	400	400	EEF1B2	GPX4	True	99.16720581054688	1.8428955078125	1.8482742309570312
ZRANB2	lung	1	0	400	400	ZRANB2	PNRC2	True	89.02320861816406	1.1712875366210938	1.1712875366210938
UBE2D2	lung	1	0	400	400	UBE2D2	TRIO	True	91.5430908203125	1.1336746215820312	1.1336746215820312
MICALL2	lung	1	0	400	400	MICALL2	TNK2	True	65.97356414794922	1.0906982421875	1.0906982421875
TNFAIP2	lung	1	0	400	400	TNFAIP2	TWSG1	True	82.46829986572266	1.1283035278320312	1.1283035278320312
LYVE1	lung	1	0	400	400	LYVE1	TAFA1	True	8.002901077270508	0.24715232849121094	0.24715232849121094
CTRB1	lung	1	0	400	400	CTRB1	HSPB2	True	17.70900535583496	1.1229324340820312	1.1283035278320312
TBCEL	lung	1	0	400	400	TBCEL	ARL3	True	54.158607482910156	1.0262184143066406	1.0315933227539062
MRPS26	lung	1	0	400	400	MRPS26	TIMM21	True	85.50397491455078	1.1551666259765625	1.1551666259765625
TCL1A	breast	1	0	400	400	TCL1A	CCDC181	True	25.128948211669922	0.9832363128662109	0.9832382202148438
SDHA	breast	1	0	400	400	SDHA	PABPC4	True	94.95486450195312	1.28948974609375	1.28948974609375
ANLN	breast	1	0	400	400	ANLN	ARPP19	True	88.84590911865234	1.1659088134765625	1.1712875366210938
ZFP64	breast	1	0	400	400	ZFP64	DENND1C	True	63.2333984375	1.004730224609375	1.010101318359375
PRSS12	breast	1	0	400	400	PRSS12	CACNB2	True	33.95658874511719	1.0906944274902344	1.0906944274902344
MPST	breast	1	0	400	400	MPST	RNF111	True	73.03352355957031	1.0906982421875	1.0960617065429688
SYNDIG1	breast	1	0	400	400	SYNDIG1	TMPRSS11A	True	10.256823539733887	0.38147449493408203	0.38147449493408203
PPP1R3B	breast	1	0	400	400	PPP1R3B	REC8	True	48.67827224731445	1.1175575256347656	1.1175575256347656
SRCAP	breast	1	0	400	400	SRCAP	WDR33	True	69.02536010742188	0.9993515014648438	0.9993515014648438
FTMT	breast	1	0	400	400	FTMT	SPRR4	True	7.656350612640381	0.0913386344909668	0.0913386344909668
RAB5A	breast	1	0	400	400	RAB5A	DNAJA2	True	85.03116607666016	1.1283111572265625	1.1336746215820312
MRPL50	breast	1	0	400	400	MRPL50	AEBP2	True	68.21942901611328	1.004730224609375	1.010101318359375
NAGA	breast	1	0	400	400	NAGA	RIOK1	True	68.97700500488281	0.9939804077148438	0.9939804077148438
TAFA3	breast	1	0	400	400	TAFA3	VSTM5	True	27.337202072143555	1.0638294219970703	1.0638294219970703
FYB1	breast	1	0	400	400	FYB1	ADCY5	True	29.282182693481445	1.0047264099121094	1.0047283172607422
HMOX2	breast	1	0	400	400	HMOX2	PLEKHJ1	True	83.72018432617188	1.0584640502929688	1.0638275146484375
TMEM266	breast	1	0	400	400	TMEM266	HLX	True	29.271438598632812	0.9993553161621094	1.0047264099121094
SCAMP1	breast	1	0	400	400	SCAMP1	EXT2	True	83.091552734375	1.0745773315429688	1.0799484252929688
TRA2B	breast	1	0	400	400	TRA2B	CCT7	True	96.90522003173828	1.3485870361328125	1.3485946655273438
FOXO1	breast	1	0	400	400	FOXO1	IFI44	True	43.89641189575195	1.192779541015625	1.192779541015625
CEP44	breast	1	0	400	400	CEP44	PHLDB2	True	60.095638275146484	0.9832382202148438	0.9886093139648438
IZUMO3	breast	1	0	400	400	IZUMO3	OR14A2	True	7.753062725067139	0.09671211242675781	0.09671211242675781
DENND10	breast	1	0	400	400	DENND10	COMMD5	True	77.71330261230469	1.004730224609375	1.004730224609375
SLC1A2	breast	1	0	400	400	SLC1A2	PTPRN2	True	29.4111328125	0.9832363128662109	0.9832363128662109
UBE2M	breast	1	0	400	400	UBE2M	PRRC2A	True	92.32215881347656	1.2411346435546875	1.2411346435546875
FSHR	breast	1	0	400	400	FSHR	SPRR4	True	7.656350612640381	0.0913386344909668	0.0913386344909668
FCRL5	breast	1	0	400	400	FCRL5	CSH2	True	10.721577644348145	0.55072021484375	0.55072021484375
AMY1C	breast	1	0	400	400	AMY1C	CYP4A11	True	10.538899421691895	0.3680419921875	0.3680419921875
FBXO2	breast	1	0	400	400	FBXO2	RIC1	True	55.83494567871094	1.0369644165039062	1.0369644165039062
TGM7	breast	1	0	400	400	TGM7	CLCA4	True	8.142596244812012	0.16655921936035156	0.16655921936035156
KRTAP5-5	breast	1	0	400	400	KRTAP5-5	SPRR4	True	7.656350612640381	0.0913386344909668	0.0913386344909668
TP53TG3B	breast	1	0	400	400	TP53TG3B	ITLN2	True	9.612078666687012	0.631312370300293	0.631312370300293
PCDH8	breast	1	0	400	400	PCDH8	CABCOCO1	True	16.247581481933594	1.47216796875	1.4775428771972656
GRIA1	breast	1	0	400	400	GRIA1	CRYGN	True	14.19514274597168	2.3425750732421875	2.3425750732421875
PRKAB1	breast	1	0	400	400	PRKAB1	TRMT6	True	67.18783569335938	1.0638275146484375	1.0638275146484375
PUM3	breast	1	0	400	400	PUM3	RBBP8	True	73.68901824951172	1.1014404296875	1.1014404296875
ADPRHL1	breast	1	0	400	400	ADPRHL1	INPP5B	True	49.908660888671875	1.0692024230957031	1.0799484252929688
PTPRB	breast	1	0	400	400	PTPRB	SPATA32	True	28.723403930664062	1.0208473205566406	1.0208473205566406
ABCG8	breast	1	0	400	400	ABCG8	TTC24	True	17.139480590820312	1.262624740600586	1.262624740600586
LRFN3	breast	1	0	400	400	LRFN3	HOXC6	True	48.54932403564453	1.1283035278320312	1.1336746215820312
SCAPER	breast	1	0	400	400	SCAPER	GLUD2	True	49.28540802001953	1.0799484252929688	1.0853195190429688
TIGD5	breast	1	0	400	400	TIGD5	MFSD13A	True	46.22286605834961	1.1175613403320312	1.1229324340820312
HNRNPU	breast	1	0	400	400	HNRNPU	HNRNPA2B1	True	97.7272720336914	1.4130706787109375	1.4184417724609375
OR51G2	breast	1	0	400	400	OR51G2	OR5B3	True	7.562325477600098	0.0026865005493164062	0.0026865005493164062
PROM1	breast	1	0	400	400	PROM1	PIPOX	True	33.32796096801758	1.0584564208984375	1.0638275146484375
ARL4A	breast	1	0	400	400	ARL4A	HMMR	True	76.92349243164062	0.9832382202148438	0.9832382202148438
LAP3	breast	1	0	400	400	LAP3	FAM168B	True	84.96131896972656	1.1121826171875	1.1121902465820312
ZNF319	breast	1	0	400	400	ZNF319	ARSB	True	45.29873275756836	1.1551704406738281	1.1659126281738281
KNOP1	breast	1	0	400	400	KNOP1	SPPL3	True	77.66494750976562	1.020843505859375	1.020843505859375
NEK4	breast	1	0	400	400	NEK4	RAB4B	True	61.90092468261719	1.0584564208984375	1.0638275146484375
FXR2	breast	1	0	400	400	FXR2	TCAF1	True	73.86094665527344	1.1068191528320312	1.1068191528320312
ZNF222	breast	1	0	400	400	ZNF222	ARL17B	True	46.701053619384766	1.1444206237792969	1.1605415344238281
CD8B	breast	1	0	400	400	CD8B	SYT10	True	10.170857429504395	0.3761014938354492	0.3761014938354492
SLC35C1	breast	1	0	400	400	SLC35C1	BORCS7	True	59.12852096557617	0.9724922180175781	0.9778633117675781
ACER2	breast	1	0	400	400	ACER2	CYP1A1	True	39.528263092041016	1.1820297241210938	1.1874046325683594
FAHD1	breast	1	0	400	400	FAHD1	DMPK	True	75.741455078125	1.0262222290039062	1.0262222290039062
GAS1	breast	1	0	400	400	GAS1	PGBD5	True	32.3232307434082	1.0154762268066406	1.0154762268066406
NCF4	breast	1	0	400	400	NCF4	FAIM2	True	27.380184173583984	1.0638294219970703	1.0692024230957031
CSNK1A1	breast	1	0	400	400	CSNK1A1	PSMB5	True	95.86825561523438	1.3056106567382812	1.3056106567382812
UQCC1	breast	1	0	400	400	UQCC1	CAPG	True	83.86524963378906	1.0692062377929688	1.0745773315429688
BLOC1S3	breast	1	0	400	400	BLOC1S3	KCNS3	True	58.51063919067383	0.9886093139648438	0.9886093139648438
CEP68	breast	1	0	400	400	CEP68	SP6	True	48.14098358154297	1.1820335388183594	1.1874046325683594
EDA2R	breast	1	0	400	400	EDA2R	INSYN2B	True	20.9757137298584	0.9832382202148438	0.9886093139648438
CDNF	breast	1	0	400	400	CDNF	AQP1	True	39.07156753540039	1.0960693359375	1.1014404296875
CACNG2	breast	1	0	400	400	CACNG2	CLCA4	True	8.16140079498291	0.14775466918945312	0.14775466918945312
PELI2	breast	1	0	400	400	PELI2	ATP13A5	True	26.601118087768555	1.0047283172607422	1.0047283172607422
AHRR	breast	1	0	400	400	AHRR	ZNF439	True	40.065547943115234	1.1283073425292969	1.1444206237792969
HES4	breast	1	0	400	400	HES4	TUBGCP6	True	63.45905685424805	1.0047264099121094	1.0047264099121094
LRRC28	breast	1	0	400	400	LRRC28	EGLN3	True	60.70814514160156	1.010101318359375	1.010101318359375
ZNF491	breast	1	0	400	400	ZNF491	ANKRD24	True	32.82291030883789	0.9939823150634766	0.9993553161621094
