group_size	layer	band_lower_released	band_upper_released	band_lower_corrected	band_upper_corrected	width_released	width_corrected	width_change	lower_change	upper_change
2	healthy	-14.935509753227233	23.925139224529246	-14.972204917669297	23.953775411844223	38.86064897775648	38.92598032951352	0.06533135175703819	-0.036695164442063444	0.028636187314976524
2	malignant	-9.93589472770691	15.418416023254371	-10.00432304739952	15.475272560119606	25.354310750961282	25.479595607519126	0.12528485655784394	-0.06842831969261098	0.05685653686523473
2	dome	-7.6390557289123535	8.814004123210896	-7.6524882316589355	8.821123450994481	16.45305985212325	16.473611682653416	0.020551830530166626	-0.013432502746582031	0.007119327783584595
2	2D	-0.932296371459961	1.8251626789569806	-0.9343608975410462	1.8435404896736118	2.7574590504169416	2.777901387214658	0.020442336797716454	-0.002064526081085205	0.01837781071663125
2	malignant-healthy	-18.087964218854903	11.837913948297494	-18.1151064068079	11.912257373332974	29.925878167152398	30.027363780140874	0.10148561298847625	-0.02714218795299672	0.07434342503547953
2	dome-2D	-7.476522922515869	8.528213709592812	-7.485255718231201	8.57494666576385	16.00473663210868	16.06020238399505	0.05546575188636993	-0.008732795715332031	0.0467329561710379
3	healthy	-13.208885192871094	18.54527699947354	-13.208885192871094	18.545814299583398	31.754162192344634	31.754699492454492	0.0005373001098583075	0.0	0.0005373001098583075
3	malignant	-6.975303673744202	12.546072512865061	-7.071865165233612	12.637176018953301	19.521376186609263	19.709041184186916	0.18766499757765231	-0.0965614914894104	0.09110350608824014
3	dome	-5.32724130153656	5.961408185958858	-5.404273676872253	5.969919872283932	11.288649487495418	11.374193549156185	0.08554406166076767	-0.07703237533569318	0.008511686325074486
3	2D	-0.23774961233139033	0.3942682385444639	-0.25054283142089845	0.40385704040527226	0.6320178508758543	0.6543998718261708	0.022382020950316495	-0.012793219089508118	0.00958880186080835
3	malignant-healthy	-15.135327517986298	11.170567202568053	-15.134236204624175	11.205036944150917	26.30589472055435	26.339273148775092	0.03337842822074322	0.0010913133621226478	0.03446974158286409
3	dome-2D	-5.405829381942749	5.880328154563902	-5.411236143112182	5.881488263607013	11.28615753650665	11.292724406719195	0.006566870212544984	-0.005406761169433061	0.001160109043111035
4	healthy	-10.77745256125927	16.257744300365445	-10.806253015995026	16.320371443033217	27.035196861624716	27.126624459028243	0.09142759740352702	-0.02880045473575521	0.0626271426677718
4	malignant	-6.154144316911697	9.899667274951922	-6.21847026348114	10.022312676906582	16.05381159186362	16.24078294038772	0.18697134852410002	-0.06432594656944257	0.12264540195466012
4	dome	-4.179352730512619	5.242106282711022	-4.208937638998031	5.259263491630549	9.421459013223641	9.46820113062858	0.046742117404939165	-0.029584908485412065	0.0171572089195271
4	2D	-0.2949181675910954	0.6227340310811988	-0.3042385995388031	0.6299863815307616	0.9176521986722943	0.9342249810695646	0.016572782397270336	-0.009320431947707708	0.007252350449562739
4	malignant-healthy	-12.39340972006321	8.541217672824853	-12.410458478331568	8.566348481178283	20.93462739288806	20.97680695950985	0.04217956662179034	-0.017048758268359165	0.0251308083534294
4	dome-2D	-4.224774557352066	5.089096289873122	-4.292415809631348	5.117389541864391	9.313870847225187	9.409805351495738	0.09593450427055039	-0.06764125227928197	0.028293251991269308
5	healthy	-8.564551538228988	13.463215327262871	-8.5921979367733	13.544143724441527	22.02776686549186	22.13634166121483	0.10857479572296924	-0.027646398544311168	0.0809283971786563
5	malignant	-4.894641542434693	7.943328428268428	-4.951626610755921	7.988242435455321	12.83796997070312	12.939869046211243	0.10189907550812194	-0.05698506832122785	0.0449140071868932
5	dome	-3.058690810203552	3.6305539250373813	-3.0917531490325927	3.664955997467034	6.689244735240933	6.7567091464996265	0.06746441125869307	-0.03306233882904053	0.03440207242965254
5	2D	-0.1746158599853515	0.350647401809692	-0.1907329797744751	0.3599815368652344	0.5252632617950435	0.5507145166397095	0.025451254844666038	-0.016117119789123585	0.00933413505554237
5	malignant-healthy	-10.976303935050964	7.954412001371363	-10.975649118423462	8.218966293334958	18.930715936422327	19.19461541175842	0.2638994753360926	0.0006548166275024414	0.26455429196359503
5	dome-2D	-3.1409931659698485	3.636414968967436	-3.178138780593872	3.678697264194487	6.777408134937284	6.856836044788359	0.07942790985107528	-0.03714561462402344	0.04228229522705096
6	healthy	-8.318404644727707	12.718930637836449	-8.359608536958694	12.780841541290263	21.037335282564158	21.140450078248957	0.10311479568479953	-0.041203892230987194	0.061910903453814115
6	malignant	-4.112491911649704	7.251131719350807	-4.146131819486618	7.277597218751898	11.363623631000511	11.423729038238516	0.06010540723800517	-0.03363990783691406	0.02646549940109022
6	dome	-2.820485407114029	3.3456502795219345	-2.8398418486118318	3.3573442578315644	6.166135686635963	6.197186106443397	0.031050419807433727	-0.019356441497802912	0.011693978309629927
6	2D	-0.2065708875656128	0.4352119922637939	-0.21424108743667603	0.43993031978607167	0.6417828798294067	0.6541714072227477	0.012388527393340953	-0.007670199871063238	0.004718327522277743
6	malignant-healthy	-9.30043584704399	7.012489490211008	-9.334512335062026	7.053369124233722	16.312925337255	16.38788145929575	0.0749561220407493	-0.03407648801803553	0.04087963402271377
6	dome-2D	-2.820567601919174	3.3379710316658016	-2.850990927219391	3.347298800945282	6.158538633584976	6.1982897281646725	0.03975109457969683	-0.030423325300216852	0.009327769279480425
7	healthy	-7.390393257141113	12.323003113269804	-7.391870793700218	12.337236613035191	19.71339637041092	19.72910740673541	0.01571103632448967	-0.001477536559105097	0.014233499765387236
7	malignant	-3.5088928103446957	6.33445563912391	-3.5494433403015138	6.373745012283324	9.843348449468607	9.923188352584837	0.07983990311623046	-0.04055052995681807	0.03928937315941372
7	dome	-2.113521158695221	2.8002948164939823	-2.1387248039245605	2.8581863641738865	4.913815975189204	4.996911168098447	0.08309519290924339	-0.0252036452293396	0.05789154767990423
7	2D	-0.08734389543533322	0.3439334392547604	-0.10477070808410642	0.36604275703430167	0.4312773346900936	0.4708134651184081	0.0395361304283145	-0.0174268126487732	0.022109317779541282
7	malignant-healthy	-10.165272104740144	6.464243960380554	-10.156457668542862	6.52277553081512	16.629516065120697	16.67923319935798	0.049717134237283744	0.00881443619728195	0.058531570434565694
7	dome-2D	-2.1928717374801634	2.7853495836257927	-2.2597393870353697	2.806741905212398	4.978221321105956	5.066481292247768	0.08825997114181217	-0.0668676495552063	0.021392321586605423
8	healthy	-6.608497571945191	10.343721604347222	-6.636101126670837	10.37072338461875	16.952219176292413	17.006824511289587	0.05460533499717357	-0.027603554725646795	0.027001780271527664
8	malignant	-3.0726231813430784	5.982120889425274	-3.071463882923126	6.059020143747329	9.054744070768352	9.130484026670455	0.0757399559021028	0.001159298419952215	0.07689925432205502
8	dome	-1.9242015719413756	2.751517462730406	-1.9312225520610808	2.779643189907073	4.675719034671782	4.710865741968154	0.035146707296371815	-0.0070209801197052	0.028125727176666615
8	2D	-0.1256085753440857	0.3741526067256924	-0.1269405245780945	0.38756786584854097	0.4997611820697781	0.5145083904266354	0.014747208356857333	-0.0013319492340087835	0.013415259122848577
8	malignant-healthy	-8.291250878572464	5.766647273302072	-8.326564472913741	5.800028359889977	14.057898151874536	14.126592832803718	0.06869468092918218	-0.03531359434127701	0.033381086587904285
8	dome-2D	-1.9662016928195953	2.7135918021202072	-1.9665814220905304	2.719602310657497	4.679793494939803	4.686183732748027	0.006390237808224342	-0.000379729270935103	0.006010508537289905
12	healthy	-4.40076941549778	7.951292347908019	-4.430916158854961	7.97241860032081	12.3520617634058	12.40333475917577	0.051272995769970464	-0.03014674335718137	0.02112625241279087
12	malignant	-1.734672099351883	4.073716211318968	-1.7533669173717499	4.13981460928917	5.808388310670851	5.8931815266609195	0.08479321599006884	-0.018694818019866943	0.0660983979702019
12	dome	-1.1134019494056702	1.6811135768890357	-1.1355108141899108	1.6966372311115239	2.794515526294706	2.8321480453014347	0.03763251900672859	-0.022108864784240678	0.015523654222488137
12	2D	-0.0524104595184326	0.2901349186897278	-0.053056240081787095	0.29032019078731436	0.3425453782081604	0.34337643086910147	0.0008310526609410784	-0.0006457805633544936	0.00018527209758656404
12	malignant-healthy	-6.277991203963756	4.169882360100745	-6.32677057236433	4.203400522470473	10.447873564064501	10.530171094834802	0.08229753077030111	-0.04877936840057373	0.033518162369728266
12	dome-2D	-1.1492562115192413	1.61288909912109	-1.1742258429527284	1.6303155124187452	2.7621453106403315	2.8045413553714735	0.042396044731142	-0.02496963143348707	0.017426413297655152
