gene	organ	identical_control_set	self_included_baseline	self_included_corrected	controls	control_set_sha256_prefix_baseline	control_set_sha256_prefix_corrected
ULBP1	pancreas	True	0	0	400	5cd48b68b1fa4f89	5cd48b68b1fa4f89
ULBP2	pancreas	True	0	0	400	515c47009c7f3ab9	515c47009c7f3ab9
ULBP3	pancreas	True	0	0	400	cc2618200642157c	cc2618200642157c
XIAP	pancreas	True	0	0	400	8ed6599de1126800	8ed6599de1126800
ZBP1	pancreas	True	0	0	400	5752833129b7ea01	5752833129b7ea01
AIM2	ovary	True	0	0	400	d1ad0139ea328e8a	d1ad0139ea328e8a
APAF1	ovary	True	0	0	400	956bd6bb7cf4fce0	956bd6bb7cf4fce0
B2M	ovary	True	0	0	400	4125cfce01f79444	4125cfce01f79444
BAK1	ovary	True	0	0	400	813375e56321b35f	813375e56321b35f
BAX	ovary	True	0	0	400	567eb484cd329dc5	567eb484cd329dc5
BCL2	ovary	True	0	0	400	e461dbc723d57ec8	e461dbc723d57ec8
BCL2L1	ovary	True	0	0	400	5d378bdb663e34f6	5d378bdb663e34f6
BID	ovary	True	0	0	400	3023f6c114696b2c	3023f6c114696b2c
BIRC2	ovary	True	0	0	400	b7dc1b47f16e09c0	b7dc1b47f16e09c0
BIRC3	ovary	True	0	0	400	1e0733ed27378a68	1e0733ed27378a68
CALR	ovary	True	0	0	400	7fafdfc550518f1c	7fafdfc550518f1c
CASP1	ovary	True	0	0	400	d7213ebbc4f3e2fc	d7213ebbc4f3e2fc
CASP10	ovary	True	0	0	400	b9dbe7c127fa6c03	b9dbe7c127fa6c03
CASP3	ovary	True	0	0	400	64db421851b23381	64db421851b23381
CASP4	ovary	True	0	0	400	4ae883121745babc	4ae883121745babc
CASP5	ovary	True	0	0	400	266121eaa4deae9b	266121eaa4deae9b
CASP6	ovary	True	0	0	400	18c8e1966869cd39	18c8e1966869cd39
CASP7	ovary	True	0	0	400	4d808cbed4ec84f3	4d808cbed4ec84f3
CASP8	ovary	True	0	0	400	4871de93d34a8878	4871de93d34a8878
CASP9	ovary	True	0	0	400	9bc1ae03dd14a8f1	9bc1ae03dd14a8f1
CD274	ovary	True	0	0	400	4266c753bf8d6680	4266c753bf8d6680
CD47	ovary	True	0	0	400	f10e391f8f868eba	f10e391f8f868eba
CEACAM1	ovary	True	0	0	400	765e20c520efe2d0	765e20c520efe2d0
CFLAR	ovary	True	0	0	400	f53c4a25bf9e8f33	f53c4a25bf9e8f33
CYCS	ovary	True	0	0	400	83a26aae3e333c3c	83a26aae3e333c3c
DIABLO	ovary	True	0	0	400	76219e9f3837eb9c	76219e9f3837eb9c
ERAP1	ovary	True	0	0	400	7a6cca8ce0fa4107	7a6cca8ce0fa4107
FADD	ovary	True	0	0	400	06534135104e4860	06534135104e4860
FAS	ovary	True	0	0	400	0b5a486096cff830	0b5a486096cff830
GSDMB	ovary	True	0	0	400	04a5bb7c77925efc	04a5bb7c77925efc
GSDMD	ovary	True	0	0	400	cd8f04fe305de5c9	cd8f04fe305de5c9
GSDME	ovary	True	0	0	400	15205f2b35119dbd	15205f2b35119dbd
HLA-A	ovary	True	0	0	400	5288640833b050eb	5288640833b050eb
HLA-B	ovary	True	0	0	400	36f154a9c1456d1f	36f154a9c1456d1f
HLA-C	ovary	True	0	0	400	4b5e3f0aeedbba4a	4b5e3f0aeedbba4a
HLA-E	ovary	True	0	0	400	84d0dc662af06c5e	84d0dc662af06c5e
LGALS9	ovary	True	0	0	400	f7b23cebad1423c5	f7b23cebad1423c5
MCL1	ovary	True	0	0	400	8725ea16d6304ccd	8725ea16d6304ccd
MICA	ovary	True	0	0	400	2afc9cc3687d7600	2afc9cc3687d7600
MICB	ovary	True	0	0	400	8a712cb7b1af4916	8a712cb7b1af4916
MLKL	ovary	True	0	0	400	cabe4b09efa8feed	cabe4b09efa8feed
NECTIN2	ovary	True	0	0	400	49425466828862d8	49425466828862d8
NLRC4	ovary	True	0	0	400	680780450eb28220	680780450eb28220
NLRC5	ovary	True	0	0	400	394a7db0693ea89a	394a7db0693ea89a
NLRP3	ovary	True	0	0	400	aff5e58302545168	aff5e58302545168
PDCD1LG2	ovary	True	0	0	400	9aa9bcebddb449b1	9aa9bcebddb449b1
PGAM5	ovary	True	0	0	400	14022bcc6511d0c3	14022bcc6511d0c3
PSMB8	ovary	True	0	0	400	27e65a3a0f1a47db	27e65a3a0f1a47db
PSMB9	ovary	True	0	0	400	0b28c563aee29774	0b28c563aee29774
PVR	ovary	True	0	0	400	4e45a5d22aff4087	4e45a5d22aff4087
PYCARD	ovary	True	0	0	400	2bedb41c7c18b941	2bedb41c7c18b941
RAET1E	ovary	True	0	0	400	8df6ba21a94136fa	8df6ba21a94136fa
RIPK1	ovary	True	0	0	400	1f19fec6fe7f3770	1f19fec6fe7f3770
RIPK3	ovary	True	0	0	400	5f1aabb04693b8d8	5f1aabb04693b8d8
TAP1	ovary	True	0	0	400	be0da004bf8abe67	be0da004bf8abe67
TAP2	ovary	True	0	0	400	d920fa08b67f7ce4	d920fa08b67f7ce4
TAPBP	ovary	True	0	0	400	2dd79b2f4818df58	2dd79b2f4818df58
TNFAIP3	ovary	True	0	0	400	4cca1b4246c7dc23	4cca1b4246c7dc23
TNFRSF10A	ovary	True	0	0	400	4781ad02f0a61a3d	4781ad02f0a61a3d
TNFRSF10B	ovary	True	0	0	400	f8b8f29c87b1da09	f8b8f29c87b1da09
TNFRSF1A	ovary	True	0	0	400	61429818ebeb3aee	61429818ebeb3aee
TRADD	ovary	True	0	0	400	2fcc29e0a2255c40	2fcc29e0a2255c40
ULBP1	ovary	True	0	0	400	213a232dcd5502a7	213a232dcd5502a7
ULBP2	ovary	True	0	0	400	562595e9f176862a	562595e9f176862a
ULBP3	ovary	True	0	0	400	895c00b2206a6d08	895c00b2206a6d08
XIAP	ovary	True	0	0	400	c098cb6135cea562	c098cb6135cea562
ZBP1	ovary	True	0	0	400	5597b73ec1283ea4	5597b73ec1283ea4
